entity,umap_x,umap_y,leiden_cluster,hdbscan_cluster
http://example.org/coimbra#Patient_1,5.193624,0.36924392,1,-1
http://example.org/coimbra#Patient_10,4.906204,-1.9824003,1,-1
http://example.org/coimbra#Patient_100,4.989088,-2.4327164,2,-1
http://example.org/coimbra#Patient_101,4.056033,0.30161154,4,-1
http://example.org/coimbra#Patient_102,3.7200751,0.06927701,4,-1
http://example.org/coimbra#Patient_103,4.518506,-2.4983997,3,-1
http://example.org/coimbra#Patient_104,6.2834387,-0.0592841,5,-1
http://example.org/coimbra#Patient_105,6.0205708,-0.20480144,1,-1
http://example.org/coimbra#Patient_106,5.4377007,-0.53680104,0,-1
http://example.org/coimbra#Patient_107,4.9003973,0.31027314,1,-1
http://example.org/coimbra#Patient_108,3.064999,-2.588998,0,-1
http://example.org/coimbra#Patient_109,4.8134503,-0.59081894,1,-1
http://example.org/coimbra#Patient_11,5.7534666,-0.72137046,2,-1
http://example.org/coimbra#Patient_110,4.5148554,-1.8742338,3,-1
http://example.org/coimbra#Patient_111,5.6458836,-1.863965,2,-1
http://example.org/coimbra#Patient_112,3.6746929,-0.6131982,3,-1
http://example.org/coimbra#Patient_113,6.254448,-0.545464,5,-1
http://example.org/coimbra#Patient_114,4.411059,0.29815045,1,-1
http://example.org/coimbra#Patient_115,4.682282,-1.1680949,2,-1
http://example.org/coimbra#Patient_116,4.3529315,-0.12535264,5,-1
http://example.org/coimbra#Patient_12,4.7230186,-0.2697701,1,-1
http://example.org/coimbra#Patient_13,5.427859,0.531497,1,-1
http://example.org/coimbra#Patient_14,3.1115007,-1.7695469,3,-1
http://example.org/coimbra#Patient_15,5.3161006,0.7563648,4,-1
http://example.org/coimbra#Patient_16,3.1875908,0.06607707,5,-1
http://example.org/coimbra#Patient_17,5.2376046,0.71962756,1,-1
http://example.org/coimbra#Patient_18,3.910255,-1.302612,5,-1
http://example.org/coimbra#Patient_19,4.7494407,0.64921033,2,-1
http://example.org/coimbra#Patient_2,5.9250636,0.25503063,0,-1
http://example.org/coimbra#Patient_20,4.4810944,-3.050954,0,-1
http://example.org/coimbra#Patient_21,6.0310917,-1.9547234,2,-1
http://example.org/coimbra#Patient_22,4.761934,-1.515243,0,-1
http://example.org/coimbra#Patient_23,4.1906304,-3.0261767,2,-1
http://example.org/coimbra#Patient_24,3.086987,-1.4675862,3,-1
http://example.org/coimbra#Patient_25,5.6678567,0.32350343,2,-1
http://example.org/coimbra#Patient_26,3.0551915,-0.053927172,5,-1
http://example.org/coimbra#Patient_27,5.943184,-1.6946503,2,-1
http://example.org/coimbra#Patient_28,4.329937,-1.8811703,0,-1
http://example.org/coimbra#Patient_29,3.8182716,-1.569531,0,-1
http://example.org/coimbra#Patient_3,2.8695557,-0.67228454,5,-1
http://example.org/coimbra#Patient_30,5.487001,-0.04429174,1,-1
http://example.org/coimbra#Patient_31,2.989428,-1.1743015,0,-1
http://example.org/coimbra#Patient_32,5.285216,-0.61855847,3,-1
http://example.org/coimbra#Patient_33,5.2530284,-2.0379214,3,-1
http://example.org/coimbra#Patient_34,4.2431574,-0.18162553,4,-1
http://example.org/coimbra#Patient_35,5.8380466,0.4676933,4,-1
http://example.org/coimbra#Patient_36,2.4822443,-0.82424074,0,-1
http://example.org/coimbra#Patient_37,4.666671,-1.6802512,5,-1
http://example.org/coimbra#Patient_38,4.049315,-1.0348825,0,-1
http://example.org/coimbra#Patient_39,5.639052,0.04368714,2,-1
http://example.org/coimbra#Patient_4,5.1930237,-2.28348,1,-1
http://example.org/coimbra#Patient_40,4.6354623,1.0515562,1,-1
http://example.org/coimbra#Patient_41,4.516729,0.8755601,1,-1
http://example.org/coimbra#Patient_42,6.435795,-0.9445917,2,-1
http://example.org/coimbra#Patient_43,3.0591505,-0.8784282,0,-1
http://example.org/coimbra#Patient_44,3.6941345,-2.4970613,0,-1
http://example.org/coimbra#Patient_45,5.3690567,0.91117835,2,-1
http://example.org/coimbra#Patient_46,4.281075,-0.6092296,0,-1
http://example.org/coimbra#Patient_47,6.79788,-1.1547644,2,-1
http://example.org/coimbra#Patient_48,5.390872,-2.792389,2,-1
http://example.org/coimbra#Patient_49,5.8091874,-1.1726661,1,-1
http://example.org/coimbra#Patient_5,4.424297,-1.0980557,1,-1
http://example.org/coimbra#Patient_50,5.1802263,-2.9392002,2,-1
http://example.org/coimbra#Patient_51,4.9440546,-0.7682312,3,-1
http://example.org/coimbra#Patient_52,3.7234619,-2.977005,0,-1
http://example.org/coimbra#Patient_53,4.4899874,-2.7564557,4,-1
http://example.org/coimbra#Patient_54,6.3907914,-1.5775661,2,-1
http://example.org/coimbra#Patient_55,3.5391045,-1.1109308,3,-1
http://example.org/coimbra#Patient_56,4.544458,-0.4888976,0,-1
http://example.org/coimbra#Patient_57,3.4883394,-3.1468406,0,-1
http://example.org/coimbra#Patient_58,3.3104718,-2.2061017,0,-1
http://example.org/coimbra#Patient_59,3.2488842,-0.3990759,3,-1
http://example.org/coimbra#Patient_6,4.661955,-0.94079536,1,-1
http://example.org/coimbra#Patient_60,4.304786,-1.0012095,0,-1
http://example.org/coimbra#Patient_61,3.3603055,-0.4890459,5,-1
http://example.org/coimbra#Patient_62,5.7515435,-2.231659,2,-1
http://example.org/coimbra#Patient_63,3.5070896,-1.2861729,3,-1
http://example.org/coimbra#Patient_64,2.9163468,-2.2032504,0,-1
http://example.org/coimbra#Patient_65,5.119734,-1.3767687,0,-1
http://example.org/coimbra#Patient_66,6.189417,-1.2652816,3,-1
http://example.org/coimbra#Patient_67,6.4095316,-0.24594045,1,-1
